dx,dy,vel,spring,next_dir,is_stuck,action
1,-3,-8,0,RIGHT,1,NONE
1,-3,-8,0,RIGHT,1,NONE
1,-2,-8,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-7,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-2,-6,0,RIGHT,1,NONE
1,-1,-6,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-5,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,NONE
1,-1,-4,0,RIGHT,1,RIGHT
1,-1,-3,0,RIGHT,1,RIGHT
1,-1,-3,0,RIGHT,1,RIGHT
0,-1,-2,0,RIGHT,1,RIGHT
-3,-3,-2,0,LEFT,1,RIGHT
-3,-3,-2,0,LEFT,1,RIGHT
-3,-3,-1,0,LEFT,1,RIGHT
-3,-3,-1,0,LEFT,1,RIGHT
-4,-3,0,0,LEFT,1,RIGHT
-4,-3,0,0,LEFT,1,RIGHT
-4,-3,0,0,LEFT,1,NONE
-4,-3,0,0,LEFT,1,NONE
-4,-3,0,0,LEFT,1,NONE
-4,-3,1,0,LEFT,1,NONE
-4,-3,1,0,LEFT,1,NONE
-4,-3,1,0,LEFT,1,NONE
-4,-3,2,0,LEFT,1,NONE
-1,-1,2,0,LEFT,1,NONE
-1,-1,3,0,LEFT,1,NONE
-1,-1,3,0,LEFT,1,NONE
-1,-1,3,0,LEFT,1,NONE
-1,-1,4,0,LEFT,1,NONE
-1,-1,4,0,LEFT,1,NONE
-1,-1,5,0,LEFT,1,NONE
-1,-1,5,0,LEFT,1,NONE
-1,-1,5,0,LEFT,1,NONE
-1,-2,6,0,LEFT,1,NONE
-1,-2,6,0,LEFT,1,NONE
-1,-2,7,0,LEFT,1,NONE
-1,-2,7,0,LEFT,1,NONE
-1,-2,-11,0,LEFT,1,NONE
-1,-2,-10,0,LEFT,1,NONE
-1,-2,-10,0,LEFT,1,NONE
-1,-2,-9,0,LEFT,1,NONE
-1,-1,-9,0,LEFT,1,NONE
-1,-1,-8,0,LEFT,1,NONE
-1,-1,-8,0,LEFT,1,NONE
-1,-1,-8,0,LEFT,1,NONE
-4,-3,-7,0,LEFT,1,NONE
-4,-3,-7,0,LEFT,1,NONE
-4,-3,-6,0,LEFT,1,NONE
-4,-3,-6,0,LEFT,1,NONE
-4,-3,-6,0,LEFT,1,NONE
-4,-3,-5,0,LEFT,1,NONE
-4,-3,-5,0,LEFT,1,NONE
-4,-2,-4,0,LEFT,1,NONE
-4,-2,-4,0,LEFT,1,NONE
-4,-2,-4,0,LEFT,1,NONE
-4,-2,-3,0,LEFT,1,NONE
-4,-2,-3,0,LEFT,1,NONE
-4,-2,-2,0,LEFT,1,NONE
-4,-2,-2,0,LEFT,1,NONE
-4,-2,-2,0,LEFT,1,NONE
-4,-2,-1,0,LEFT,1,NONE
-4,-2,-1,0,LEFT,1,NONE
